Dates	Time	Flow	pMeHg
10d	8s	6n	6n
2017-11-02	12:50	850	0.113
2017-11-07	12:40	68	0.058
2017-11-16	11:55	1300	0.557
2017-12-14	9:50	750	0.021
2018-01-24	10:00	400	0.019
2018-02-15	9:00	70	0.031
2018-03-01	9:00	220	0.044
2018-03-16	8:30	1620	0.055
2018-03-20	9:00	490	0.034
2018-03-22	13:43	10153	0.630
2018-04-16	8:30	697	0.162
2018-05-30	8:20	430	0.015
2018-06-26	7:10	125	0.018
2018-07-18	8:00	254	0.014
2018-08-27	8:00	129	0.022
