Dates	Time	Flow	pTHg
10d	8s	6n	6n
2017-11-02	12:50	850	16.2
2017-11-07	12:40	68	3.8
2017-11-16	11:55	1300	31.8
2017-12-14	9:50	750	2.0
2018-01-24	10:00	400	1.2
2018-02-15	9:00	70	1.0
2018-03-01	9:00	220	3.4
2018-03-16	8:30	1620	4.6
2018-03-20	9:00	490	3.4
2018-03-22	13:43	10153	91.6
2018-04-16	8:30	697	38.8
2018-05-30	8:20	430	2.0
2018-06-26	7:10	125	1.3
2018-07-18	8:00	254	1.2
2018-08-27	8:00	129	0.7
