Site	Dates	Flow
10s	10d	6n
390035121033201	2017-10-01	5.0
390035121033201	2017-10-02	5.0
390035121033201	2017-10-03	5.0
390035121033201	2017-10-04	5.0
390035121033201	2017-10-05	5.0
390035121033201	2017-10-06	5.0
390035121033201	2017-10-07	5.0
390035121033201	2017-10-08	5.0
390035121033201	2017-10-09	5.0
390035121033201	2017-10-10	5.0
390035121033201	2017-10-11	5.0
390035121033201	2017-10-12	5.0
390035121033201	2017-10-13	5.0
390035121033201	2017-10-14	5.0
390035121033201	2017-10-15	5.0
390035121033201	2017-10-16	5.0
390035121033201	2017-10-17	5.0
390035121033201	2017-10-18	5.0
390035121033201	2017-10-19	5.0
390035121033201	2017-10-20	5.0
390035121033201	2017-10-21	5.0
390035121033201	2017-10-22	5.0
390035121033201	2017-10-23	5.0
390035121033201	2017-10-24	5.0
390035121033201	2017-10-25	5.0
390035121033201	2017-10-26	5.0
390035121033201	2017-10-27	5.0
390035121033201	2017-10-28	5.0
390035121033201	2017-10-29	5.0
390035121033201	2017-10-30	5.0
390035121033201	2017-10-31	5.0
390035121033201	2017-11-01	5.0
390035121033201	2017-11-02	161
390035121033201	2017-11-03	621
390035121033201	2017-11-04	756
390035121033201	2017-11-05	512
390035121033201	2017-11-06	344
390035121033201	2017-11-07	254
390035121033201	2017-11-08	5.0
390035121033201	2017-11-09	5.0
390035121033201	2017-11-10	5.0
390035121033201	2017-11-11	5.0
390035121033201	2017-11-12	225
390035121033201	2017-11-13	247
390035121033201	2017-11-14	250
390035121033201	2017-11-15	350
390035121033201	2017-11-16	1735
390035121033201	2017-11-17	2613
390035121033201	2017-11-18	1107
390035121033201	2017-11-19	743
390035121033201	2017-11-20	738
390035121033201	2017-11-21	771
390035121033201	2017-11-22	706
390035121033201	2017-11-23	708
390035121033201	2017-11-24	692
390035121033201	2017-11-25	706
390035121033201	2017-11-26	747
390035121033201	2017-11-27	838
390035121033201	2017-11-28	745
390035121033201	2017-11-29	716
390035121033201	2017-11-30	704
390035121033201	2017-12-01	751
390035121033201	2017-12-02	727
390035121033201	2017-12-03	787
390035121033201	2017-12-04	795
390035121033201	2017-12-05	831
390035121033201	2017-12-06	768
390035121033201	2017-12-07	739
390035121033201	2017-12-08	739
390035121033201	2017-12-09	738
390035121033201	2017-12-10	736
390035121033201	2017-12-11	736
390035121033201	2017-12-12	737
390035121033201	2017-12-13	737
390035121033201	2017-12-14	732
390035121033201	2017-12-15	737
390035121033201	2017-12-16	734
390035121033201	2017-12-17	733
390035121033201	2017-12-18	740
390035121033201	2017-12-19	751
390035121033201	2017-12-20	977
390035121033201	2017-12-21	717
390035121033201	2017-12-22	686
390035121033201	2017-12-23	681
390035121033201	2017-12-24	683
390035121033201	2017-12-25	671
390035121033201	2017-12-26	670
390035121033201	2017-12-27	635
390035121033201	2017-12-28	525
390035121033201	2017-12-29	509
390035121033201	2017-12-30	508
390035121033201	2017-12-31	543
390035121033201	2018-01-01	496
390035121033201	2018-01-02	488
390035121033201	2018-01-03	486
390035121033201	2018-01-04	333
390035121033201	2018-01-05	337
390035121033201	2018-01-06	352
390035121033201	2018-01-07	354
390035121033201	2018-01-08	300
390035121033201	2018-01-09	435
390035121033201	2018-01-10	511
390035121033201	2018-01-11	453
390035121033201	2018-01-12	457
390035121033201	2018-01-13	465
390035121033201	2018-01-14	471
390035121033201	2018-01-15	468
390035121033201	2018-01-16	471
390035121033201	2018-01-17	487
