Dates	Time	Flow	fMeHg
10d	8s	6n	6n
2017-11-02	12:50	850	0.041
2017-11-07	12:40	68	0.058
2017-11-16	11:55	1300	0.057
2017-12-14	9:50	750	0.033
2018-01-24	10:00	400	0.025
2018-02-15	9:00	70	0.088
2018-03-01	9:00	220	0.036
2018-03-16	8:30	1620	0.024
2018-03-20	9:00	490	0.023
2018-03-22	13:43	10153	0.029
2018-04-16	8:30	697	0.030
2018-05-30	8:20	430	0.034
2018-06-26	7:10	125	0.095
2018-07-18	8:00	254	0.071
2018-08-27	8:00	129	0.127
